h.f13.s2	x.0.m.cx	x.0.m.cy	x.0.m.majoraxis	x.0.m.eccentricity	x.0.m.theta	x.0.s.area	x.0.s.perimeter	x.0.s.radius.mean	x.0.s.radius.sd	x.0.s.radius.min	x.0.s.radius.max	x.a.b.mean	x.a.b.sd	x.a.b.mad	x.a.b.q001	x.a.b.q005	x.a.b.q05	x.a.b.q095	x.a.b.q099	x.a.m.cx	x.a.m.cy	x.a.m.majoraxis	x.a.m.eccentricity	x.a.m.theta	x.Ba.b.mean	x.Ba.b.sd	x.Ba.b.mad	x.Ba.b.q001	x.Ba.b.q005	x.Ba.b.q05	x.Ba.b.q095	x.Ba.b.q099	x.Ba.m.cx	x.Ba.m.cy	x.Ba.m.majoraxis	x.Ba.m.eccentricity	x.Ba.m.theta	h.asm.s1	h.con.s1	h.cor.s1	h.var.s1	h.idm.s1	h.sav.s1	h.sva.s1	h.sen.s1	h.ent.s1	h.dva.s1	h.den.s1	h.f12.s1	h.f13.s1	h.asm.s2	h.con.s2	h.cor.s2	h.var.s2	h.idm.s2	h.sav.s2	h.sva.s2	h.sen.s2	h.ent.s2	h.dva.s2	h.den.s2	h.f12.s2
C1	0.381629745110301	92.6832061068702	13.1536259541985	59.5643081876293	0.860591763572885	0.018527223731584	1048	314	19.7836840729041	6.96852390506945	5.61965754607247	35.2897150799716	0.403820535847927	0.147974305426542	0.168609411764706	0.11556862745098	0.172549019607843	0.4	0.647058823529412	0.737254901960784	93.7869659089856	13.0606577276981	60.6444798453139	0.860973318968056	-0.0127214029402507	0.407629518840034	0.529730111587926	0.556443605695115	-0.762624919142607	-0.453294890234729	0.388154531684681	1.31126072079455	1.60133742221094	93.1516354106163	13.3009987648261	63.4789884604625	0.831966273491838	-0.0189162015237174	0.00437316448113305	26.4520624303233	0.396177345330139	22.9038340361592	0.258228212893046	26.2608695652174	674.283146917015	1.4996120607468	2.46517995038038	26.4520624303233	1.04747019208058	0.059020274770517	0.373125916262762	0.0048584430176321	34.7607891491985	0.149379651460679	21.4326108638769	0.196054029960878	26.3415536374846	667.480317733458	1.43150218376117	2.38746610876186	34.7607891491985	1.10026646148452	0.0638253742541758
C2	0.324852205923394	706.172937771346	51.7503617945007	46.4324150923222	0.343737524681489	1.42907797324104	1382	350	20.7564211679008	3.70021299644855	10.9767014858838	30.2660012663229	0.418796288414063	0.1522481060173	0.174423529411765	0.116156862745098	0.172549019607843	0.419607843137255	0.666666666666667	0.738745098039216	706.750433639591	51.6443003496219	46.1743277473171	0.315516793758957	1.2499565328089	0.375549392258211	0.493548197039262	0.484822155717177	-0.848854722821935	-0.485848223933235	0.407623175342282	1.14618193499002	1.44432085167186	706.096729359663	52.6230111120174	52.1924014127418	0.381630917158069	-1.52083425372374	0.00384465778823906	31.3489562013917	0.328449373820552	24.3407244214342	0.238282265509082	27.1451084731887	719.354213604467	1.50646045656891	2.51408490661923	31.3489562013917	1.08317705365589	0.0385252688005265	0.306656487630629	0.00397151717178256	40.3576329331046	0.155431126821841	24.8924463207106	0.195257439381306	26.7521440823328	694.340954525295	1.47114722351493	2.47858901927772	40.3576329331046	1.13382714605852	0.0440044706056203
C3	0.308063311136327	936.055367231638	49.8887005649717	54.6580032272735	0.453114280819881	-1.03279465975091	1770	375	24.2689128944216	3.57378582810967	16.0276403475718	35.2334299840995	0.404103245818101	0.141196180542258	0.159888235294118	0.129411764705882	0.192156862745098	0.396078431372549	0.650980392156863	0.72792156862745	936.480766700294	49.5667956927935	55.1106380171239	0.441091941449434	-1.05088112207159	0.330114863780477	0.460341097795226	0.503634914702148	-0.605603946807948	-0.402667091243486	0.320705439024717	1.10467873902525	1.32719654637821	935.322466438828	50.8530295003631	59.7114695787947	0.421011844350982	-1.16975929680019	0.00455683707948031	25.2356112256223	0.367094967511739	20.9363332018461	0.245553775269179	26.1967654986523	665.661652658687	1.47527826432667	2.45233338344377	25.2356112256223	1.04115796493826	0.0375610106145489	0.299338563111458	0.00460851491983754	33.6063685636856	0.173200424642843	21.3231651087683	0.215918961335663	26.2730352303523	664.122979249877	1.44489217899848	2.44184235042988	33.6063685636856	1.10052868515339	0.0400181424350072
C4	0.287539082728379	810.485517241379	49.0655172413793	47.0614947340413	0.460667903633433	0.456438889073388	1450	207	21.2248932939573	3.23443863562648	12.6910060690235	30.0550829620479	0.44095199459094	0.156035238275516	0.180237647058824	0.149019607843137	0.192156862745098	0.435294117647059	0.701960784313725	0.792156862745098	810.085303173415	48.5580525263429	45.8570960664276	0.418090178220612	0.345164509984222	0.341978604314703	0.518619669628584	0.514406465116041	-0.914598182385417	-0.572490898223049	0.352027349595091	1.16556775783289	1.52198803020345	809.605326187135	48.9151145124529	50.555394794188	0.405067360235831	0.385998317171779	0.00350958662725791	34.5393403353602	0.291233495603413	25.3658102641051	0.212789920293551	28.5618205269947	794.745384098458	1.50962129333903	2.54172134278294	34.5393403353602	1.10461680664551	0.0350139130770193	0.294278836545082	0.00389071750299755	40.6376252891288	0.0923651724021712	23.3865502146285	0.179193374946274	28.3292212798766	771.265245430641	1.45252747536907	2.4792911694405	40.6376252891288	1.13423010216274	0.0342119198961411
C5	0.36754181172961	543.642671292281	67.2532523850824	39.4328503093898	0.325310620813625	-1.14204816432596	1153	112	18.7079634991767	0.657557849711125	17.0500650845607	20.4107220972364	0.445143955240379	0.11202896628742	0.122096470588235	0.243137254901961	0.286274509803922	0.435294117647059	0.650980392156863	0.713725490196078	544.605100894719	66.0931853085675	39.3638600287962	0.274155831168239	-1.21554557082588	0.376637056396121	0.339689407902845	0.326876389442851	-0.294835650398437	-0.116448180185106	0.33763086155109	0.994504881379264	1.25697944214711	545.149691267502	65.734895405123	44.0333320414762	0.269876434248366	-1.29490433720774	0.00830455027666194	13.1385869565217	0.466480250109109	13.3131214535254	0.317289495366675	28.6897644927536	782.267965602418	1.37394367871185	2.20701294737719	13.1385869565217	0.909324841543788	0.0569875882256161	0.34846995705212	0.00913322278419569	13.7444764649376	0.420491241164848	12.8587305673902	0.300704695242024	28.6820365033621	780.78996793202	1.34891516445545	2.1327071250875	13.7444764649376	0.916202553519188	0.0658088654134507
C6	0.261756447380961	172.815892314373	98.0295267042987	59.4017672551346	0.423577391974081	0.982543624610016	2303	377	25.9502510815397	4.59079394281752	11.9566994058349	34.9717932219517	0.421443471005423	0.158104770197627	0.191865882352941	0.137254901960784	0.188235294117647	0.415686274509804	0.67843137254902	0.752862745098039	173.376280308203	97.5639335916509	59.4959198644907	0.417263540738751	0.811004194860586	0.332910762072606	0.563428160519269	0.565905028078926	-1.03652793778722	-0.577957242834742	0.331319121299428	1.24657871876255	1.57984490003835	173.73231135863	98.5756254099303	67.9394500701598	0.532291425566582	0.447210945505777	0.00383881376736362	30.1240988062877	0.38911344625756	25.6560499832089	0.250591079341982	27.2156955442619	728.561604096484	1.52403341488741	2.50904347433168	30.1240988062877	1.07637210408033	0.0464262789712879	0.335287194769118	0.00334415467292419	45.184329482672	0.118783899504028	26.6374852077947	0.190054360574317	27.4334505273732	730.636128193002	1.48599368003464	2.54276610002867	45.184329482672	1.15859106548344	0.0275289877374202
C7	0.325158868374082	57.7008403361345	100.145658263305	55.6133390543123	0.51181530915042	0.841519312476476	1785	385	23.6355444481298	4.47928080185203	9.02397623410575	33.5816653989913	0.415521502718735	0.155973581456985	0.174423529411765	0.101960784313725	0.16156862745098	0.415686274509804	0.674509803921569	0.756862745098039	58.5485922753589	100.089116239723	56.1086817447445	0.534596164501914	0.790517632500538	0.345852181320124	0.538625485290245	0.545155771842426	-0.925209828296148	-0.559245129747682	0.359266739902803	1.24604991081713	1.54935609617845	59.1061322841724	100.697665582623	60.9621113179944	0.517790783868881	0.799501387708921	0.00384845107986799	30.3344206275241	0.379157200756398	25.4300333872613	0.244263055230943	26.796054675365	706.098140427362	1.52329409196534	2.53056200466684	30.3344206275241	1.0754070686325	0.047196343768077	0.339314978806233	0.00387641370982236	39.3976221928666	0.1796365211391	25.0122965051855	0.197177743195774	26.5046235138705	682.753321658203	1.48259805967664	2.51712382281815	39.3976221928666	1.13157167627154	0.0434301475387713
C8	0.309613455083272	272.760869565217	110.746567505721	52.7425396449666	0.438187990784576	1.3481866953703	1748	400	22.4615801433597	4.76215339562149	9.47967892388767	32.6577603717707	0.432761250953471	0.166189968396358	0.203494117647059	0.11556862745098	0.172549019607843	0.443137254901961	0.701960784313725	0.784313725490196	272.759692896283	110.707297601335	52.5000121648558	0.418347637706125	1.19170958408725	0.354428497108588	0.574408849384339	0.577262656680211	-0.957785881807746	-0.628455065581778	0.374558951782894	1.26257235291743	1.6996531790476	272.161807648159	111.923361761268	57.3896586385884	0.409187350055092	0.89513364601383	0.00342419861408081	35.1351221849545	0.365529745375828	28.6885495646812	0.241003890562282	27.8723846030985	768.609788508187	1.54766784423452	2.56317369130813	35.1351221849545	1.10461299956315	0.0460971482035852	0.337513165759195	0.00350836062975486	49.1593406593407	0.12770455795313	29.1781483025902	0.185498796269083	27.7678571428571	753.285961862731	1.50509435384901	2.5460858435075	49.1593406593407	1.17382901922696	0.0388109791710901
C9	0.27625275105032	431.996548153262	130.233690024163	66.6855555395335	0.407281944279037	1.01073094730872	2897	399	30.0530418046192	5.90316261325122	12.7984151226558	42.35205629907	0.44431765111982	0.172754072388136	0.226750588235294	0.164705882352941	0.203921568627451	0.43921568627451	0.717647058823529	0.800156862745098	431.969524697395	130.069048511271	65.4248321339541	0.388529964588091	0.87591273432175	0.323275920408219	0.558640684506176	0.560917755911975	-1.00963945537118	-0.624343867576469	0.352288332004433	1.21496997841698	1.6006223990967	431.031332721298	129.778162868462	72.0061086412591	0.420094402183819	0.689271354017984	0.00395179145881296	37.8831494018362	0.352990161843811	30.2755590160678	0.250659287823333	28.751553371047	819.39843175218	1.54531612497154	2.52820208872847	37.8831494018362	1.11629319971135	0.043377329690086	0.325642862127155	0.00357552303869905	51.8072571205618	0.126029314626219	30.6390130627805	0.196535664401437	28.6890362856028	805.384884273083	1.51117601032501	2.53553255349403	51.8072571205618	1.1835936122539	0.0308263575006802
C10	0.349390074212165	628.654705484089	117.279620853081	48.4979174829179	0.335938851223285	-0.301413101498311	1477	354	22.019706795041	3.11186106873867	14.82562362382	29.0433577597264	0.423505515950456	0.145910672673841	0.156981176470588	0.128470588235294	0.192156862745098	0.419607843137255	0.682352941176471	0.749019607843137	628.933250578345	116.800717209903	48.7303539806856	0.32113620911677	-0.258658339482084	0.372083828704454	0.514682255609373	0.51328146016258	-0.799853178687815	-0.499288419591901	0.393754217242835	1.18731300538547	1.58912899836483	628.559717224198	116.938751279202	53.4554683336419	0.260605235972871	-0.0426749811370246	0.00420507393484889	27.9858128834356	0.350577420055002	22.5466891263667	0.232556044076622	27.4382668711656	731.318040853966	1.49376654389137	2.4889085501447	27.9858128834356	1.05984018191394	0.038328148507946	0.304432497493063	0.00430588882805858	39.7252559726962	0.118021727327549	23.5205411536535	0.208318677652408	27.5955631399317	733.757780406758	1.45362610831834	2.46924142510883	39.7252559726962	1.1322835019734	0.0513713390463416
